name,country,sports,age,gender,philosophy,ambition,hero
GANAPIN Allain Keanu,Philippines, Taekwondo,23,Male,,"To win a medal at the 2020 Paralympic Games in Tokyo. (cnnphilippines.com, 16 Aug 2021)",
GANBAT Bolor Erdene,Mongolia, Taekwondo,26,Male,,"To win a gold medal at the 2020 Paralympic Games in Tokyo. (paralympic.org, 01 Jan 2019)",
GAO Fang,People's Republic of China, Athletics,33,Female,,,
GAO Fangxia,People's Republic of China, Archery,39,Female,,,
GAO Hui,People's Republic of China, Sitting Volleyball,33,Male,,"To compete at the 2020 Paralympic Games in Tokyo. (cpc2008.org.cn, 30 Sep 2019)",
GAO Wenwen,People's Republic of China, Sitting Volleyball,31,Female,,,
GARASHCHENKO Kyrylo,Ukraine, Swimming,23,Male,"""Citius, altius, fortius."" (Athlete, 13 Aug 2018)",,
GARBE Andrey Pereira,Brazil, Swimming,24,Male,"""Sport helped me overcome my impairment and changed my life."" (premiomktcontemporaneo.com.br, 01 Nov 2016)","To win a medal at the 2020 Paralympic Games in Tokyo. (vasco.com.br, 11 Mar 2021)","Brazilian Para swimmer Daniel Dias, US swimmer Michael Phelps. (globo.com, 27 Oct 2014; gazetabragantina.com.br, 2015)"
GARCES Hector,Colombia, Wheelchair Basketball,37,Male,"""Go further."" (Athlete, 22 Aug 2021)","To compete at the 2020 Paralympic Games in Tokyo. (laopinion.com.co, 04 Aug 2021)","US basketballer Michael Jordan. (Athlete, 22 Aug 2021)"
GARCIA FALAGAN Alba,Spain, Athletics,19,Female,"""It is only impossible if you believe it so."" (Instagram profile, 01 Jan 2018)","To compete at the 2024 Paralympic Games in Paris. She also aspires to become a physiotherapist. (abc.es, 22 Jan 2018)","Spanish high jumper Ruth Beitia, Spanish sprinter Bruno Hortelano. (vidasinsuperables.com, 09 Oct 2018; Athlete, 20 Aug 2018)"
GARCIA LOPEZ Juan Diego,Mexico, Taekwondo,18,Male,"""Sport instills discipline, respect, commitment. Values that help you in daily life."" (diarioamanecer.com.mx, 23 Nov 2020)","To win a gold medal at the 2020 Paralympic Games in Tokyo. (debate.com.mx, 07 May 2020)",
GARCIA MARQUINA Luis Miguel,Spain, Cycling Road,42,Male,,"To win a medal at the 2020 Paralympic Games in Tokyo. (cadenaser.com, 08 Jun 2018)",
GARCIA PEREIRO Asier,Spain, Wheelchair Basketball,40,Male,"""Work, work and work. Believe in yourself."" (Athlete, 03 May 2016)","To compete at the 2020 Paralympic Games in Tokyo. (dxtadaptado.com, 22 Aug 2019)","Canadian wheelchair basketball player Patrick Anderson. (Athlete, 03 May 2016)"
GARCIA RAMOS Paola del Valle,Venezuela, Athletics,27,Female,,,
GARCIA SERRANO Jose Luis,Spain, Triathlon,38,Male,"""It has not been an easy road. I have had to row against the current. The key to my evolution is that I have not skipped any step to get this far. There are no shortcuts or magic wands that will make you rise suddenly, just work, complete stages and enjoy every day."" (tokio2020.dxtadaptado.com, 25 Jul 2021)","To compete at the 2020 Paralympic Games in Tokyo. (patrocinaundeportista.com, 25 Aug 2020)","Spanish triathlete Javier Gomez Noya. (dxtadaptado.com, 25 Jul 2021)"
GARCIA TRELLES Niel Moises,Peru, Powerlifting,48,Male,"""Dreams must be pursued, no matter the cost."" (ipd.gob.pe, 30 Jun 2017)","To compete at the 2020 Paralympic Games in Tokyo. (ipd.gob.pe, 30 Jun 2017)","Peruvian footballer Paolo Guerrero. (promoviendoteperu.com, 28 Jan 2013)"
GARCIA-TOLSON Rudy,United States of America, Swimming,32,Male,"""I love to lead by example. My mission is to show people the real disability in life is a negative attitude."" (thinkrudy.com, 21 Jun 2021)","To win a medal at the 2020 Paralympic Games in Tokyo. (nytimes.com, 23 Jun 2021)",
GARDOS Krisztian,Austria, Table Tennis,46,Male,"""Carpe diem!"" (Athlete, 12 May 2016)","To compete at the 2020 Paralympic Games in Tokyo. (ttbundesliga.at, 07 Jul 2020)","His brother Robert Gardos. (Athlete, 12 May 2016)"
GARIPOV Ilnur,RPC, Swimming,21,Male,"""Training is a key to success."" (VK profile, 09 Aug 2021)",,
GARRIDO BRUN Jacobo,Spain, Swimming,19,Male,"""The more I swim, the better I feel, it makes me more competitive. Perseverance is not my strongest suit, there are times when I don't feel like training, but I can't fail if I want to be up there with the best."" (tokio2020.dxtadaptado.com, 01 Jul 2021)","To win a medal at the 2020 Paralympic Games in Tokyo. (paralimpicos.es, 26 Feb 2021)","Argentinian footballer Lionel Messi. (Athlete, 15 Aug 2018)"
GARRIDO Juan Carlos,Chile, Powerlifting,41,Male,,"To win a medal at the 2020 Paralympic Games in Tokyo. (paralympic.org, 07 Mar 2021)","Egyptian Para powerlifter Sherif Osman. (Athlete, 11 Jul 2019)"
GARRIDO MARQUEZ Victor Hugo,Venezuela, Cycling Road,54,Male,"""Sport has given me the chance to see life differently."" (colegiolosnaranjos.com, 04 Dec 2015)",,
GARRIDO MARQUEZ Victor Hugo,Venezuela, Cycling Track,54,Male,"""Sport has given me the chance to see life differently."" (colegiolosnaranjos.com, 04 Dec 2015)",,
GARRONE Maria,Argentina, Table Tennis,24,Female,,"To win a Paralympic medal. (Athlete, 22 Aug 2021)",
GARROTE MUNOZ Sergio,Spain, Cycling Road,42,Male,,"To become world champion, and to compete at the 2020 Paralympic Games in Tokyo. (sergiogarrote.weboficial.net, 08 Jan 2019)",
GASCON Sarai,Spain, Swimming,28,Female,"""Barriers are in the mind."" (mujerydeporte.practicodeporte.com, 20 Nov 2017)","To win a gold medal at the Paralympic Games. (efe.com, 26 Sep 2020)","US swimmer Michael Phelps. (efe.com, 26 Sep 2020)"
GASIMOV Orkhan,Azerbaijan, Athletics,27,Male,"""Only a person who fights to the end can reach the top of the sport."" (Facebook profile, 17 Jul 2021)",,
GASIMOV Ramil,Azerbaijan, Judo,40,Male,,,"Azerbaijani Para judoka Ilham Zakiyev. (Athlete, 01 Apr 2016)"
GASMI Mounia,Algeria, Athletics,31,Female,,,
GASPAR Tamas,Hungary, Archery,42,Male,,"To compete at the 2020 Paralympic Games in Tokyo. (sportsable.co.uk, 01 Jan 2021)",
GASPAR Vladimir,Croatia, Athletics,30,Male,,"To compete at the 2020 Paralympic Games in Tokyo. (slobodnadalmacija.hr, 20 Sep 2020)","Brazilian footballer Roberto Carlos. (Athlete, 06 Nov 2019)"
GATIN Nail,RPC, Archery,45,Male,,,
GAUTIER Shelley,Canada, Cycling Road,52,Female,"""Get out there and do it."" (Athlete, 07 Feb 2012)","To win a gold or silver medal at the 2020 Paralympic Games in Tokyo. (PEDAL, 01 Dec 2018; shelleygautier.wordpress.com, 02 May 2020)",
GAUTO GALLEGOS Eduardo,Argentina, Judo,33,Male,"""Compete to win."" (Athlete, 22 Aug 2021)","To win a medal at the 2020 Paralympic Games in Tokyo. (paradeportes.com, 23 Apr 2021)","Japanese judoka Shohei Ono. (Athlete, 22 Aug 2021)"
GAVILAN LORENZO Alvaro,Spain, Judo,28,Male,"""Sometimes you win, sometimes you learn."" (Instagram profile, 26 Jul 2021)",,"Spanish judoka Isabel Fernandez. (avancedeportivo.es, 19 Jun 2016)"
GAVRILOV Denis,RPC, Athletics,35,Male,,"To compete in the marathon at the 2020 and 2024 Paralympic Games. (Athlete, 02 Dec 2019)","Kenyan long-distance runner Eliud Kipchoge, Russian long-distance runner Stepan Kiselyov. (Athlete, 02 Dec 2019)"
GAWILAN Ernie,Philippines, Swimming,30,Male,"""Let's continue dreaming and work hard to fulfill our dreams."" (sunstar.com.ph, 20 Oct 2018)",,
GEBER dos SANTOS Jerusa,Brazil, Athletics,39,Female,"""You have to learn how to be gracious in both victory and defeat."" (Athlete, 30 Nov 2010)","To win a gold medal at the 2020 Paralympic Games in Tokyo. (globoesporte.globo.com, 30 Mar 2021)",
GEDDES Ellen,United States of America, Wheelchair Fencing,33,Female,,,
GEER McKenna,United States of America, Shooting,25,Female,"""Keep chipping away at the goals and dreams you have set for yourself. Maybe your dream is to be an Olympic or Paralympic champion. Maybe your dream is to eat better, exercise more, or start that new hobby you've been thinking about. Or maybe your goal is to learn how to prioritise moments of quiet in an otherwise hectic life. Whatever your dreams are, they are worth it."" (Instagram profile, 22 Oct 2020)","To win gold at the 2020 Paralympic Games in Tokyo. (Shooting Para Sport Twitter profile, 17 Sep 2020; paralympic.org, 17 May 2017)",
GEFFROY Gael,France, Athletics,22,Male,,"To compete at the 2024 Paralympic Games in Paris. (Facebook profile, 13 Jul 2020)",
GEIERSPICHLER Thomas,Austria, Athletics,45,Male,"""Everything is possible for those who believe."" (geierspichler.com, 05 Jun 2018)","To win a medal at the 2020 Paralympic Games in Tokyo. (sn.at, 12 Oct 2020)","Austrian skier Hermann Maier. (Athlete, 20 Aug 2018)"
GEIGER Nicole,Switzerland, Equestrian,58,Female,"""Everyone has a destiny, a story, why they are there. Be it from birth, or because something drastic happened later in life."" (aargauerzeitung.ch, 12 Apr 2020)",,
GENEST Manon,France, Athletics,28,Female,"""Among my values there is the need to surpass myself. [Every race] is actually a challenge against myself."" (lequipe.fr, 03 Dec 2019)","To win a medal at the Paralympic Games in Tokyo. (lanouvellerepublique.fr, 16 Jan 2020)","French Para athletes Marie-Amelie Le Fur and Louis Radius. (Athlete, 20 Aug 2018)"
GENYN Peter,Belgium, Athletics,44,Male,"""Do everything to win, but keep it fair."" (Athlete, 23 Oct 2015)","To retain his Paralympic titles in the T51 100m and 400m at the 2020 Paralympic Games in Tokyo. (atni.be, 24 Jun 2018)",
GEORGE Joshua,United States of America, Athletics,37,Male,"""There is no such thing as a life without adversity. No goal is reached without struggle."" (apbspeakers.com, 01 Jan 2019)",,"US wheelchair basketball player Paul Ward, US basketball player Tim Duncan, Swiss tennis player Roger Federer, US Para athlete Krige Schabort, US athlete Allyson Felix, US tennis players Serena and Venus Williams. (uiuc.edu, 23 Jul 2007; teamusa.org, 01 Jul 2019; forbes.com, 17 Oct 2019)"
GEORGE Michele,Belgium, Equestrian,47,Female,"""The sky is the limit. Live your life and follow your dreams."" (michele-george.be, 11 Jan 2015; Athlete, 07 Aug 2012)",,
GERARD Joachim,Belgium, Wheelchair Tennis,32,Male,"""It's never over."" (Athlete, 11 Aug 2015)","To win gold at the 2020 Paralympic Games in Tokyo. (itftennis.com, 07 Jan 2020)",
GERASIMOVA Arina,RPC, Goalball,23,Female,"""Never give up."" (Athlete, 12 Mar 2020)","To compete at the 2020 Paralympic Games in Tokyo. (Athlete, 12 Mar 2020)",
GERGELY Marek,Slovakia, Wheelchair Tennis,35,Male,"""Everything is possible."" (Athlete, 04 Mar 2011)",,"His parents. (Athlete, 04 Mar 2011)"
GERNAAT Russell,United States of America, Rowing,55,Male,"""The only easy day was yesterday."" (Athlete, 21 Aug 2021)","To win a medal at the 2020 Paralympic Games in Tokyo. He also aspires to compete in a winter sport at elite level. (palimpsestediting.com, 16 Oct 2017; row2k.com, 15 Apr 2021; Athlete, 21 Aug 2021)",
GERNY Celine,France, Equestrian,39,Female,,"To win a medal at the 2024 Paralympic Games in Tokyo. (Le Belvedere, 01 Apr 2021)",
GESINI Ari,Australia, Athletics,19,Male,"""Can someone show me to the nearest sandpit?"" (Instagram profile, 11 May 2020)","To win a gold medal at the 2024 Paralympic Games in Paris. (Athlete, 06 Nov 2019)","His first athletics coach Chris Timpson, South African long jumper Luvo Manyonga. (Athlete, 06 Nov 2019)"
GHARANJIK Abdoljalil,Islamic Republic of Iran, Wheelchair Basketball,34,Male,"""Never give up."" (Athlete, 22 Aug 2021)","To win a medal at the Paralympic Games. (irna.ir, 05 Jan 2021)","Iranian wheelchair basketball player Alireza Ahmadi. (Athlete, 22 Aug 2021)"
GHARSALLAH Karim,Tunisia, Table Tennis,42,Male,,"To win a medal at the 2020 Paralympic Games in Tokyo. (Tunisian National Paralympic Committee Facebook page, 31 Jul 2021)",
GHAVELAS Athanasios,Greece, Athletics,21,Male,,,
GHAZOUANI Souhad,France, Powerlifting,39,Female,"""I can't see myself not doing weightlifting. It's given me, and continues to give me, more autonomy. It really helps people in wheelchairs to go about their daily lives, lifting things, transferring from the wheelchair and so on. This sport is more than a passion. It's part of me and of my life, so it's difficult to stop."" (paralympic.org, 07 Jul 2019)","To win gold at the 2020 Paralympic Games in Tokyo. (paralympic.org, 07 Jul 2019)","French footballer Lilian Thuram, French powerlifter Rafik Arabat, Brazilian footballer Ronaldinho, French Para athlete Joel Jeannot. (Athlete, 04 Dec 2017)"
GHILLI Houssam,Morocco, Football 5-a-side,27,Male,"""Simplicity."" (Athlete, 01 Apr 2016)","To win a medal at the 2020 Paralympic Games in Tokyo. (Athlete, 09 Feb 2020)","Portuguese footballer Cristiano Ronaldo. (Athlete, 09 Feb 2020)"
GHIRETTI Giulia,Italy, Swimming,27,Female,"""Sport is dealing in the best possible way with what life offers each day."" (eis-team.it, 01 Jan 2019)","To compete at the 2020 Paralympic Games in Tokyo. (YouTube channel, 05 Mar 2021)",
GHOUL Yamina,Algeria, Wheelchair Basketball,49,Female,,,
GIERA Krystian,Poland, Cycling Road,40,Male,"""You always have to take risks. Only then can we understand how great a miracle life is when we are ready to accept surprises that fate brings us."" (Facebook profile, 23 May 2018)","To compete at the 2020 Paralympic Games in Tokyo. (Facebook page, 03 Jan 2021)",
GIL Jose Pablo,Costa Rica, Wheelchair Tennis,26,Male,,,
GILLETTE Lex,United States of America, Athletics,36,Male,"""No need for sight when you have a vision."" (Twitter profile, 26 Feb 2021)","To win a gold medal at the 2020 Paralympic Games in Tokyo. (lexgillette.com, 17 Sep 2019)","US basketball player Michael Jordan. (teamusa.org, 27 May 2020)"
GILLI Carlotta,Italy, Swimming,20,Female,,"To compete at the 2020 Paralympic Games in Tokyo. (Instagram profile, 20 Jan 2021)","Italian swimmer Federica Pellegrini. (Athlete, 09 Sep 2019)"
GILLIVER Piers,Great Britain, Wheelchair Fencing,26,Male,,"To win a medal at the 2020 Paralympic Games in Tokyo. (gofundme.com, 02 Jul 2014)",
GILMUTDINOV Arslan,RPC, Cycling Road,38,Male,"""I get a lot of pleasure from cycling. In ordinary life I use crutches, and sometimes inconveniences arise. When I get on a bike, I am like a fish in water. I go and I get a sensation of freedom."" (day.org.ru, 18 Aug 2015)",,
GILMUTDINOV Arslan,RPC, Cycling Track,38,Male,"""I get a lot of pleasure from cycling. In ordinary life I use crutches, and sometimes inconveniences arise. When I get on a bike, I am like a fish in water. I go and I get a sensation of freedom."" (day.org.ru, 18 Aug 2015)",,
GIM Dong Hyeon,Republic of Korea, Wheelchair Basketball,32,Male,,,
GIMENEZ Daniela,Argentina, Swimming,29,Female,"""In a competition, everything that could be done has been done. So now relax and enjoy the ride."" (Athlete, 09 Sep 2019)","To win a medal at the 2020 Paralympic Games in Tokyo. (Athlete, 09 Sep 2019)","Argentine judoka Paula Pareto. (cynergysports.com, 16 Aug 2020)"
GIMENEZ REINOSO Pablo Damian,Argentina, Athletics,37,Male,"""Always look ahead regardless of the results. Do not fill your mouth with excuses."" (Athlete, 21 Aug 2021)","To compete at the 2020 Paralympic Games in Tokyo. (Instagram profile, 20 Aug 2021)","Argentinian footballer Lionel Messi. (Athlete, 21 Aug 2021)"
GINGRAS Zachary,Canada, Athletics,20,Male,"""You get out what you put in."" (Athlete, 11 Nov 2019)",,"Canadian sprinter Andre De Grasse. (Athlete, 11 Nov 2019)"
GIORDAN Edoardo,Italy, Wheelchair Fencing,28,Male,"""When we fight for the things we believe in, something makes us stronger than we are."" (art4sport.org, 01 Feb 2020)","To win a medal at the 2020 Paralympic Games in Tokyo. (Luigi Cordioli LinkedIn profile, 01 Jan 2021)","Italian footballer Francesco Totti. (art4sport.org, 01 Feb 2020)"
GIRALDO CORREA Daniel,Colombia, Swimming,37,Male,,"To compete at the 2020 Paralympic Games in Tokyo. (Instagram profile, 11 Sep 2017)",
GIYAZOV Temurbek,Uzbekistan, Athletics,25,Male,,"To win a gold medal at the 2020 Paralympic Games in Tokyo. (olympic.uz, 08 Jan 2020)","Argentinian footballer Lionel Messi. (Athlete, 06 Nov 2019)"
GJESSING Lisa,Denmark, Taekwondo,43,Female,,"To compete at the 2020 Paralympic Games in Tokyo. (insidethegames.biz, 29 Sep 2019)",
GKOULI Efthymia,Greece, Swimming,25,Female,"""Don't give up."" (Athlete, 21 Aug 2021)","To finish in the top six at the 2020 Paralympic Games in Tokyo. (Athlete, 21 Aug 2021)","British swimmer Adam Peaty. (Athlete, 21 Aug 2021)"
GLAB Michal,Poland, Athletics,28,Male,,"To compete at the 2020 Paralympic Games in Tokyo. (gazetawroclawska.pl, 20 Jun 2020)",
GLADKOV Andrei,RPC, Swimming,24,Male,"""When you love your job, it will bear fruit. You have to give yourself completely."" (volgograd-trv.ru, 17 Oct 2017)","To win gold medals at the Paralympic Games. (Athlete, 09 Mar 2021)","Jamaican sprinter Usain Bolt. (Athlete, 26 Apr 2016)"
GLINBANCHEUN Yuttajak,Thailand, Table Tennis,24,Male,"""Never give up!"" (Athlete, 27 Jul 2016)",,
GLOCK Talisson Henrique,Brazil, Swimming,26,Male,"""Train hard."" (Athlete, 02 Dec 2017)",,"Brazilian Para swimmer Clodoaldo Silva. (Athlete, 21 Jul 2015)"
GNEZDILOV Denis,RPC, Athletics,34,Male,"""Be the first always and everywhere."" (Athlete, 25 Mar 2020)","To win gold at the 2020 Paralympic Games in Tokyo. (Athlete, 25 Oct 2019)",
GODFREY Michael,United States of America, Table Tennis,57,Male,"""What I like best about [table tennis] is not any ball is the same. Kind of like playing golf or riding bulls. Every shot is different. It's never the same."" (nbcdfw.com, 02 Aug 2021)","To win a gold medal at the 2020 Paralympic Games in Tokyo. ""I've already been programmed in my mind, when I win, I'll be crying like a baby."" (nbcdfw.com, 02 Aug 2021)",
GODINJAK Ismet,Bosnia and Herzegovina, Sitting Volleyball,48,Male,,"To win gold at the 2020 Paralympic Games in Tokyo. (ba.n1info.com, 22 Jul 2019)",
GODMANE Imad Eddine,Algeria, Goalball,30,Male,"""One must struggle."" (Athlete, 01 Apr 2016)",,"His father. (Athlete, 01 Apr 2016)"
GODOVITSYNA Anna,RPC, Sitting Volleyball,30,Female,,,
GOERLACH Jonathan,Australia, Triathlon,38,Male,"""When I was first diagnosed, my family were thinking 'what now?' But for many parents of disabled children, I am the 'what now?' I'm what their disabled child can be too. Whether you have an ability, a disability, or both, the power of sport can change lives. It's changed mine."" (asf.org.au, 01 Aug 2017)",,
GOGEL Jane Karla,Brazil, Archery,46,Female,,"To win medals at the world championships and the Paralympic Games. (rededoesporte.gov.br, 11 Jun 2018)",
GOLESTANI Hossein,Islamic Republic of Iran, Sitting Volleyball,29,Male,"""After I started playing sitting volleyball, my spirit and motivation improved. Impairment has its difficulties, but since I got into volleyball I have gained self-confidence."" (irisfd.ir, 05 Jun 2019)","To win three Paralympic gold medals during his career. (irisfd.ir, 04 Jun 2019)","His father, and his daughter. (Athlete, 21 Aug 2021)"
GOLUS Michal,Poland, Swimming,25,Male,,"To compete at the 2020 Paralympic Games in Tokyo. (dami24.pl, 13 Jul 2017)",
GOMES de MENDONCA Ricardo,Brazil, Athletics,31,Male,"""Determination, courage and self-confidence are decisive factors for success. If we possess an unshakable determination, we will be able to overcome. Regardless of the circumstances, we must always be humble, modest and without pride."" (Instagram profile, 01 Aug 2021)","To compete at the 2020 Paralympic Games in Tokyo. (Instagram profile, 30 Jul 2021)",
GOMES Jessica,Brazil, Goalball,28,Female,"""Sport for me is what makes us move, what transforms us. It take us all out of the bottom, out of depression, and changes our lives. It's like eating chocolate, that's how it all starts, with a huge joy that invades you."" (Universidade Cruzeiro do Sul, 01 Jan 2017)","To compete at the 2020 Paralympic Games in Tokyo. (Universidade Cruzeiro do Sul, 01 Jan 2017)","Brazilian goalball player Ana Carolina Duarte. (Universidade Cruzeiro do Sul, 01 Jan 2017)"
GOMES PESSANHA Michel,Brazil, Rowing,42,Male,,"To win a medal at the 2020 Paralympic Games in Tokyo. (flamengo.com.br, 14 Sep 2020)","Brazilian sprint paddler Isaquias Queiroz Dos Santos, Brazilian rower Fabiana Beltrame. (flamengo.com.br, 16 Jul 2019)"
GOMES SANTIAGO Maria Carolina,Brazil, Swimming,36,Female,"""For me, swimming has always been a way to overcome my fears."" (blogs.correiobraziliense.com.br, 11 Mar 2020)","To compete at the 2020 Paralympic Games in Tokyo. (olimpiadatododia.com.br, 29 Aug 2019)",
GOMES SOARES Carlos Alberto,Brazil, Cycling Road,26,Male,,,
GOMES SOARES Carlos Alberto,Brazil, Cycling Track,26,Male,,,
GOMEZ COA Juan Sebastian,Colombia, Athletics,21,Male,"""You should do sports because it is good for everyone. You can be better every time and there is no obstacle that cannot be overcome."" (coldeportes.gov.co, 09 Aug 2017)",,"Jamaican sprinter Usain Bolt. (Athlete, 22 Aug 2021)"
GOMEZ Joel,United States of America, Athletics,18,Male,"""No limits."" (Athlete, 06 Nov 2019)","To compete at the 2020 Paralympic Games in Tokyo, and to compete as an able-bodied athlete at the 2028 Olympic Games in Los Angeles. (timesofsandiego.com, 11 Dec 2018; Athlete, 06 Nov 2019)","Kenyan athlete Eliud Kipchoge, US athlete Matthew Centrowitz, Brazilian athlete and coach Joaquim Cruz. (Athlete, 06 Nov 2019)"
GOMEZ Maximiliano Ramon,Argentina, Cycling Road,42,Male,,"To finish in the top eight at the 2020 Paralympic Games in Tokyo. (argentina.gob.ar, 08 Feb 2021)",
GOMEZ Maximiliano Ramon,Argentina, Cycling Track,42,Male,,"To finish in the top eight at the 2020 Paralympic Games in Tokyo. (argentina.gob.ar, 08 Feb 2021)",
GONCALVES Cristina,Portugal, Boccia,43,Female,"""I like to fight and to take risks in the game."" (Athlete, 31 Aug 2012)",,"British boccia player Nigel Murray. (Athlete, 31 Aug 2012)"
GONCALVES Jeferson,Brazil, Football 5-a-side,31,Male,"""Never give up on a dream."" (IBSA, 17 Nov 2015)","To win gold at the 2020 Paralympic Games in Tokyo. (paralympic.org, 22 Feb 2020)","Brazilian Para footballer Mizael Conrado, Brazilian footballer Ronaldinho Gaucho. (paralympic.org, 22 Feb 2020)"
GONCALVES Luan,Brazil, Football 5-a-side,28,Male,,,
GONCALVES RODRIGUES Vinicius,Brazil, Athletics,26,Male,"""Live without limits."" (Facebook profile, 08 Jun 2021)","To become a world and Paralympic champion and to compete at the 2020, 2024 and 2028 Paralympic Games. (esportes.r7.com, 28 Apr 2021; esportelandia.com.br, 19 Feb 2020)","Brazilian Formula One driver Ayrton Senna. (Kenjiria YouTube channel, 19 Sep 2019)"
GONCALVES SILVA Ruiter Antonio,Brazil, Swimming,28,Male,"""If you can imagine it, you can do it."" (Athlete, 02 Dec 2017)","To win a gold medal at the 2020 Paralympic Games in Tokyo. (ruitersilva.com.br, 13 Mar 2018)","US swimmer Michael Phelps. (Athlete, 02 Dec 2017)"
GONCHAROVA Margarita,RPC, Athletics,30,Female,,,"Her husband Ivan Goncharov, Russian sprinter Aleksandra Antonova, Jamaican sprinter Usain Bolt, Russian pole vaulter Yelena Isinbaeva. (Athlete, 28 May 2016)"
GONCIN Nikola,Canada, Wheelchair Basketball,29,Male,"""Excellence is not an act but a habit."" [Aristotle] (Athlete, 20 Jul 2016)",,"His father. (Athlete, 20 Jul 2016)"
GONG Bin,People's Republic of China, Sitting Volleyball,40,Female,,,
GONG Xiao,United States of America, Shooting,23,Male,,,
GONTAR Anastasiia,RPC, Swimming,20,Female,"""Do not give in to difficulties. Overcome all obstacles."" (surgu.ru, 17 Aug 2020)","To compete at the 2020 Paralympic Games in Tokyo. (Instagram profile, 25 Jul 2021)","US swimmer Katie Ledecky. (Athlete, 27 May 2019)"
GONZALEZ Cristian,Chile, Table Tennis,41,Male,"""Where there is a will, there is a way."" (CANAL CDO YouTube channel, 15 Jan 2021)""The only battle that is lost is that which is abandoned."" (Athlete, 22 Aug 2021)","To compete at the 2020 Paralympic Games in Tokyo, and to be ranked among the top five players in the world. (santiago2023.org, 20 Oct 2020; Athlete, 22 Aug 2021)","Chinese table tennis player Ma Long. (Athlete, 22 Aug 2021)"
GONZALEZ HENRIQUEZ Norkelys del Ca.,Venezuela, Athletics,26,Female,,"To compete at the 2020 Paralympic Games in Tokyo. (marcavinotinto.com, 27 Aug 2019)","Spanish tennis player Rafael Nadal. (Athlete, 24 Aug 2021)"
GONZALEZ Ixhelt,United States of America, Wheelchair Basketball,17,Female,,,
GONZALEZ Laura,Argentina, Judo,29,Female,"""The mind is like a parachute, it only works when it is open."" (grupolaprovincia.com, 07 Mar 2020)",,
GONZALEZ RODRIGUEZ Laura Carolina,Colombia, Swimming,22,Female,"""Dare to dream because dreams can become real. Never give up even if things seem difficult. Faith and confidence can make you a champion."" (cpc.org.co, 29 Oct 2019)","To compete at the 2020 Paralympic Games in Tokyo. (polideportes.poligran.edu.co, 09 Jan 2018)","Colombian Para swimmer Carlos Serrano Zarate, US swimmer Michael Phelps. (polideportes.poligran.edu.co, 09 Jan 2018)"
GONZALEZ SAUCEDA Jorge Benjamin,Mexico, Athletics,27,Male,"""Do not leave for tomorrow what you can do today."" (debate.com.mx, 10 Jan 2013)","To win a medal at the 2020 Paralympic Games in Tokyo. (lineadirectaportal.com, 16 Dec 2019)","Jamaican sprinter Usain Bolt. (playbuzz.com, 06 Sep 2016)"
GONZALEZ Sofia,Switzerland, Athletics,20,Female,"""My difference is my attitude."" (Instagram profile, 11 Sep 2019)","To compete at the 2020 Paralympic Games in Tokyo. Her long-term goal is to win a medal at the 2024 Paralympic Games in Paris. (plusport.ch, 01 Nov 2017; plusport.ch, 01 Dec 2017)","German Para sprinter Johannes Floors. (Athlete, 13 Nov 2019)"
GOODKIND Laura,United States of America, Rowing,35,Female,"""When I'm rowing, it's the only time I feel like my body is fully engaged. It teaches me how to adapt to my circumstances, both on and off the water, and gives me the drive that I need to overcome whatever life throws my way."" (huffpost.com, 12 Apr 2016)","To compete at the 2020 Paralympic Games in Tokyo. (row2k.com, 15 Apr 2021)","US basketballer Michael Jordan. (Athlete, 18 Sep 2016)"
GOODRICH Ben,United States of America, Judo,28,Male,"""I am passionate about being the best I can be. I push myself to the limits in sport. I hit speed bumps along the way but they don't hold me back. I am a hard working individual that brings a lively 'can do' attitude to any place I go."" (LinkedIn profile, 21 Apr 2020)","To compete at the 2020 Paralympic Games in Tokyo. (Instagram profile, 31 Dec 2020)",
GORANOVIC Marijana,Montenegro, Athletics,32,Female,"""Believing in yourself is the secret to success."" (pokcg.org, 01 Oct 2016)","To compete at the 2020 Paralympic Games in Tokyo. (Facebook profile, 13 Sep 2019; vijesti.me, 29 Aug 2018)","New Zealand shot putter Valerie Adams. (Athlete, 20 Aug 2018)"
GORCZAK Bartosz,Poland, Athletics,33,Male,"""Life belongs to those who believe in the beauty of their dreams."" (paralympic.org.pl, 01 Jun 2021)",,
GORDIYCHUK Yuliya,Israel, Swimming,23,Female,"""Just swim through it."" (Instagram profile, 19 Feb 2016)","To compete at the 2020 Paralympic Games in Tokyo. (davar1.co.il, 28 Dec 2020; lelo-hagbala.co.il, 28 Dec 2020)",
GORDON Martin,Ireland, Cycling Road,36,Male,,"To win a medal at the Paralympic Games or world championships. (Athlete, 21 Aug 2021)","British politician Winston Churchill. (Athlete, 21 Aug 2021)"
GORDON Martin,Ireland, Cycling Track,36,Male,,"To win a medal at the Paralympic Games or world championships. (Athlete, 21 Aug 2021)","British politician Winston Churchill. (Athlete, 21 Aug 2021)"
GORE Jonathan,United States of America, Athletics,26,Male,"""My story is my motivation."" (Instagram profile, 29 Jul 2021)","To compete at the 2020 Paralympic Games in Tokyo. (gofundme.com, 01 Jun 2021)",
GOREN SHTOUK Simona,Israel, Rowing,39,Female,,,
